,Category,answer_class,ques,text
0,Перевод/ запись в группу,11,Qs0,Как перейти в другую группу или сменить специальность во время учебы?
1,Портал,15,Qs0,Какие элементы входят в основное обучение в личном кабинете?
2,Трудоустройство,27,Qs0,Какие инструменты и ресурсы предоставляются студентам в рамках программы помощи с трудоустройством вашей школы?
3,Расписание,21,Qs0,Можете ли вы предоставить мне расписание каникул на 2024 год?
4,Трудоустройство,25,Qs0,Какие инструменты и ресурсы доступны для помощи в поиске работы после окончания обучения?
5,Оценки,10,Qs0,Кто ответственен за проверку моих сданных работ?
6,Документы,2,Qs0,Когда мне будет выдан диплом?
7,Организация уроков,6,Qs0,Какая последовательность предполагается для прохождения курсов в программе?
8,Расписание,22,Qs0,Как найти информацию о расписании курсов и лекций?
9,Документы,3,Qs0,К какому сроку необходимо было оплатить обучение для получения удостоверения?
10,Оценки,10,Qs0,"Как исправить оценку ""не прошел"" или ""не принято""?"
11,Практические работы,12,Qs0,Как отправить домашнее задание на платформе?
12,Требования ПО,24,Qs0,Какие программы и инструменты необходимы для обучения на тестировщика?
13,Трудоустройство,26,Qs0,Как я могу получить поддержку в поиске работы?
14,Документы,0,Qs0,Как получить информацию о документах или сертификатах после окончания обучения?
15,Организация уроков,5,Qs0,"Как я могу узнать, где проходят трансляции вебинаров?"
16,Портал,17,Qs0,Как отключить уведомления от вашей платформы?
17,Организация уроков,6,Qs0,Когда будет опубликовано расписание?
18,Документы,1,Qs0,Как получить документ о завершении обучения?
19,Портал,17,Qs0,Как настроить уведомления о предстоящих занятиях в моем профиле?
20,Документы,4,Qs0,"Могу ли я получить диплом на бумаге, а не в электронном виде?"
21,Портал,14,Qs0,Как найти список обязательных курсов для моего образовательного плана?
22,Портал,15,Qs0,Какие элементы входят в основное обучение в личном кабинете?
23,Программа обучения,13,Qs0,Какой срок обучения мне предстоит пройти?
24,Требования ПО,23,Qs0,Какие программы и инструменты необходимы для обучения на программиста?
25,Организация уроков,8,Qs0,Какова цель консультации?
26,Трудоустройство,27,Qs0,Какие услуги предоставляются в рамках помощи с трудоустройством?
27,Программа обучения,20,Qs0,Какие различия есть в структуре и продолжительности программы профессиональной переподготовки и программы повышения квалификации?
28,Организация уроков,7,Qs0,Будут ли уроки интерактивными и включать в себя возможность задавать вопросы?
29,Организация уроков,5,Qs0,Как происходит проведение уроков?
30,Трудоустройство,25,Qs0,Предоставляете ли вы ресурсы или мероприятия для помощи с трудоустройством после окончания обучения?
31,Документы,4,Qs0,Как получить диплом после окончания обучения?
32,Портал,18,Qs0,Как заполнить профиль с информацией о себе?
33,Практические работы,12,Qs0,Как найти задание для выполнения?
34,Расписание,22,Qs0,Когда проводятся занятия?
35,Организация уроков,9,Qs0,"Как узнать, когда будет доступна запись вебинара?"
36,Документы,29,Qs0,Мое налоговшее учреждение отказалось принять договор от вашей школы. Что мне делать?
37,Документы,0,Qs0,После окончания обучения какой документ мне выдадут?
38,Перевод/ запись в группу,11,Qs0,С какого момента начинается отсчет срока обучения для возможных переводов?
39,Организация уроков,7,Qs0,Как организованы занятия на курсе?
40,Программа обучения,20,Qs0,В чем основные отличия между программой профессиональной переподготовки и программой повышения квалификации?
41,Портал,16,Qs0,"Требуется ли обязательно проходить курсы, расположенные во вкладке ""Отдельные""?"
42,Программа обучения,13,Qs0,"В чем заключается разница между программами ""Специалист"" и ""Специалист с опытом""?"
43,Портал,14,Qs0,Как начать обучение?
44,Требования ПО,24,Qs0,"Я учащийся на вашей платформе, изучающий специальность ""Тестировщик"". Можете ли вы рекомендовать мне необходимые программы для эффективного обучения?"
45,Портал,16,Qs0,"Какие курсы представлены во вкладке ""Отдельные""?"
46,Перевод/ запись в группу,11,Qs0,Как мне перевестись в другую группу?
47,Трудоустройство,26,Qs0,Как получить поддержку в поиске работы?
48,Требования ПО,23,Qs0,"Какие программные требования необходимы для специализации ""Программист""?"
49,Документы,2,Qs0,Какие документы необходимо предоставить для получения диплома?
50,Портал,14,Qs0,"Где на сайте GeekBrains расположен список курсов, которые я должен проходить?"
51,Организация уроков,9,Qs0,Где расположены записи прошедших вебинаров?
52,Оценки,10,Qs0,"Можно ли пересдать работу, если пропущен дедлайн пересдачи?"
53,Документы,28,Qs0,Можно ли получить налоговую выгоду от обучения на вашей платформе?
54,Программа обучения,19,Qs0,Можете ли вы подробнее рассказать об организации программы обучения?
55,Организация уроков,8,Qs0,Какие форматы преподавания используются в обучении?
56,Документы,3,Qs0,Какие условия необходимы для получения удостоверения?
57,Документы,1,Qs0,Можно ли получить диплом без прохождения промежуточных и итоговых аттестаций?
58,Документы,0,Qs0,Какие аккредитации или удостоверения могут быть получены после завершения обучения?
59,Организация уроков,9,Qs0,"Что делать, если я не смог посетить онлайн-урок?"
60,Расписание,21,Qs0,Будут ли каникулы в GeekBrains в этом году?
61,Портал,17,Qs0,Как активировать уведомления об уроках для моего профиля?
62,Организация уроков,5,Qs0,Как присоединиться к уроку?
63,Документы,1,Qs0,Какие шаги необходимо выполнить для получения документа после завершения обучения?
64,Документы,28,Qs0,Можно ли получить налоговую скидку за участие в ваших курсах?
65,Портал,18,Qs0,Как добавить информацию о себе в личный кабинет?
66,Практические работы,12,Qs0,Какие способы сдачи работы доступны для студентов?
67,Документы,29,Qs0,"Что делать, если налоговый орган отказывается регистрировать договор с вашей школой?"
68,Организация уроков,8,Qs0,В каком формате проводятся занятия в моей программе обучения?
69,Перевод/ запись в группу,11,Qs1,"Какие шаги нужно предпринять, чтобы изменить группу или направление обучения?"
70,Портал,15,Qs1,Какие компоненты составляют основное обучение в личном кабинете?
71,Трудоустройство,27,Qs1,Какие услуги и ресурсы доступны студентам в рамках программы помощи с трудоустройством вашей школы?
72,Расписание,21,Qs1,Какое расписание каникул запланировано на 2024 год?
73,Трудоустройство,25,Qs1,Какие ресурсы и инструменты предоставляются для помощи в трудоустройстве после окончания обучения?
74,Оценки,10,Qs1,Кто проверяет мои домашние задания и проекты?
75,Документы,2,Qs1,Когда я смогу получить свой диплом?
76,Организация уроков,6,Qs1,Какой порядок прохождения курсов предусмотрен в программе?
77,Расписание,22,Qs1,Где можно получить информацию о расписании занятий?
78,Документы,3,Qs1,"Когда следует оплатить обучение, чтобы получить сертификат?"
79,Оценки,10,Qs1,"Какие шаги нужно предпринять, чтобы исправить оценку ""не принято""?"
80,Практические работы,12,Qs1,Как загрузить домашнее задание на платформу?
81,Требования ПО,24,Qs1,Какие инструменты и программы рекомендуются для обучения на тестировщика?
82,Трудоустройство,26,Qs1,Какие ресурсы доступны для помощи в трудоустройстве?
83,Документы,0,Qs1,Где можно найти информацию о сертификатах или документах после завершения обучения?
84,Организация уроков,5,Qs1,Где можно найти информацию о трансляциях вебинаров?
85,Портал,17,Qs1,Как я могу отключить уведомления от вашей платформы?
86,Организация уроков,6,Qs1,"Как узнать, когда появится расписание?"
87,Документы,1,Qs1,Как получить диплом или сертификат об образовании?
88,Портал,17,Qs1,Как включить уведомления о предстоящих уроках в моем профиле?
89,Документы,4,Qs1,Можно ли получить диплом в бумажной версии?
90,Портал,14,Qs1,"Как найти список курсов, которые необходимо пройти для моей специальности?"
91,Портал,15,Qs1,Какие компоненты составляют основное обучение в личном кабинете?
92,Программа обучения,13,Qs1,Как долго я буду обучаться?
93,Требования ПО,23,Qs1,Какие инструменты и программы рекомендуются для обучения на программиста?
94,Организация уроков,8,Qs1,Какова роль консультации в обучении?
95,Трудоустройство,27,Qs1,Какие ресурсы доступны для помощи с трудоустройством?
96,Программа обучения,20,Qs1,Какие отличия есть в организации и длительности программы профессиональной переподготовки и программы повышения квалификации?
97,Организация уроков,7,Qs1,Могу ли я ожидать активного участия в уроках и возможности задавать вопросы?
98,Организация уроков,5,Qs1,Где проводятся занятия?
99,Трудоустройство,25,Qs1,Включены ли в вашу программу обучения мероприятия или ресурсы для помощи с трудоустройством после окончания обучения?
100,Документы,4,Qs1,Как забрать диплом после его выдачи?
101,Портал,18,Qs1,Как добавить личную информацию в профиль?
102,Практические работы,12,Qs1,Где можно найти задания для выполнения?
103,Расписание,22,Qs1,Какие дни недели выделены для уроков?
104,Организация уроков,9,Qs1,Как получить доступ к записи вебинара?
105,Документы,29,Qs1,Налоговая служба отказалась заключать договор со школой. Какие шаги следует предпринять?
106,Документы,0,Qs1,Какой сертификат я получу после прохождения курса?
107,Перевод/ запись в группу,11,Qs1,От какой даты начинается учет срока обучения для переводов?
108,Организация уроков,7,Qs1,Как проводятся занятия на курсе?
109,Программа обучения,20,Qs1,Какие ключевые различия между программой профессиональной переподготовки и программой повышения квалификации?
110,Портал,16,Qs1,"Необходимо ли проходить все курсы из вкладки ""Отдельные""?"
111,Программа обучения,13,Qs1,"Какие отличия существуют между программами ""Специалист"" и ""Специалист с опытом""?"
